word	C	count	sigma_nor
towards	3.63101984911	17	1.62604249707
room	3.616496156	4	1.68057693624
coming	3.60742500632	4	1.67811738429
text	3.60550550453	4	1.67759693049
06	3.59750021842	4	1.67542637684
contraction	3.57162153304	6	1.70024979877
little	3.56870255624	17	1.61386785105
intensity	3.56330573356	4	1.66615488262
decision	3.55454977528	4	1.66378079169
objects	3.55181309329	4	1.6630387676
years	3.54364160304	4	1.66082314936
place	3.53932485583	48	1.43449082105
still	3.53588733156	14	1.63507007272
different	3.5297798794	23	1.5581376735
l	3.5280602165	5	1.68035751086
infinity	3.52708870557	4	1.65633499596
physics	3.49267022649	18	1.59045515806
constants	3.48898877612	5	1.67005428308
electrodynamics	3.4858639945	9	1.66911940865
identically	3.48022102977	4	1.64362729216
average	3.47202980909	8	1.6721482906
fulfilled	3.46587859748	4	1.63973848441
11	3.45784103631	15	1.60977473082
or	3.45702460701	79	1.34682418132
ab	3.4538624362	4	1.63648042188
deductions	3.44080364385	8	1.6646042959
expect	3.43220579927	4	1.63060844033
produces	3.40753676149	4	1.62391967628
freely	3.40153701417	4	1.62229290451
relation	3.38898306	11	1.63086744766
takes	3.3784288623	13	1.61114205957
point	3.37037734489	71	1.35294862575
addition	3.34552366553	11	1.62117440966
added	3.34166480911	4	1.60605915204
obtain	3.33261491671	22	1.53026344241
parts	3.32876529739	4	1.60256157783
travelling	3.3256958304	11	1.61675207562
gravitation	3.32046214395	19	1.54975767837
objection	3.28285025749	5	1.61569508643
their	3.25434430668	44	1.41023095274
treated	3.23871607257	5	1.6040568014
insert	3.2259612488	4	1.57468728331
electrical	3.22178295312	5	1.59959149925
phenomena	3.18086474461	16	1.5456833435
situated	3.16764812616	14	1.55851740175
observation	3.15742745425	16	1.54101249568
ground	3.14021725507	4	1.55143865285
negative	3.13912745344	8	1.5917217129
30	3.13532526912	5	1.57679241116
practically	3.12992927645	8	1.58949950604
shall	3.12497942466	34	1.43034268721
who	3.11637412451	16	1.53283092464
43	3.11376706661	5	1.57110746407
perihelion	3.10526818749	5	1.5688662903
magnetic	3.10244196274	4	1.54119625833
structure	3.09969438837	12	1.55925895321
few	3.08352259198	10	1.56916219994
material	3.07245125668	19	1.50309347941
uniformly	3.00964477321	19	1.49127619883
identical	3.00935795494	11	1.54619713383
hold	3.00837894041	29	1.43488211159
himself	3.00003937928	5	1.54111721402
zero	2.99982683022	5	1.54106116435
curves	2.99959131326	14	1.52358033444
einstein	2.99777565055	7	1.55784432489
statement	2.98906286212	19	1.48740363338
expression	2.98085398914	15	1.51272799546
occur	2.97998823086	4	1.50799414776
into	2.95622251279	34	1.40478868151
experiment	2.92698317905	18	1.48203600761
curved	2.92461730105	4	1.49298087127
hypotheses	2.92388172083	10	1.53263554714
fixed	2.92089935261	21	1.46248676787
does	2.91874224511	36	1.39141645315
lightning	2.91564851693	13	1.51275071988
we	2.91017020618	434	1.13422791062
its	2.90779023125	76	1.29338309542
value	2.90397946604	20	1.46532089565
construction	2.90299764868	12	1.51644821971
conflict	2.88082282372	4	1.48110643465
from	2.88036680025	217	1.18357082358
respect	2.86205169479	72	1.2948962446
minimum	2.84289598298	3	1.41314261563
directions	2.84246481729	4	1.470706043
year	2.84011782173	3	1.41237241957
ticks	2.83894153381	3	1.41204631456
considerably	2.83795032768	3	1.41177152019
believes	2.8326628983	3	1.41030567394
relationship	2.83043422177	3	1.4096878128
assigned	2.82578380952	3	1.40839856828
dt1	2.8254889096	3	1.40831681249
localised	2.82495558858	3	1.40816895868
direction	2.82427192933	29	1.40520825797
instantaneous	2.82299497323	3	1.40762541276
centrifugal	2.81909210579	3	1.40654341181
presents	2.81140847834	3	1.40441326203
should	2.80765216814	42	1.35526610486
mentioned	2.80542257983	12	1.49521116069
diameter	2.80497468464	3	1.40262960655
perpendiculars	2.8002284991	3	1.40131381058
hope	2.797126345	3	1.40045379324
associate	2.79532988866	3	1.3999557575
deviations	2.79130083742	3	1.39883877433
standing	2.78772910927	3	1.39784857589
determines	2.78687318788	3	1.39761128682
effects	2.77940988715	3	1.39554221874
continue	2.77276623662	3	1.39370038416
central	2.77205653987	3	1.39350363329
encounter	2.77177311739	3	1.39342505943
doing	2.7657248571	3	1.39174828626
cosmological	2.76004263705	5	1.47782952673
physicists	2.75902114449	7	1.49848220548
stellar	2.75841230623	3	1.38972101091
generalised	2.75790162084	3	1.38957943242
satisfies	2.73678420877	3	1.38372500352
absent	2.7364623118	3	1.38363576329
might	2.73148544027	9	1.49185313658
demand	2.72706602242	3	1.38103080829
enters	2.72523892991	3	1.38052427922
stipulation	2.71634025947	3	1.37805728027
p1	2.71309478879	4	1.43562864744
sense	2.71093156901	28	1.39114815529
supposition	2.70946157649	3	1.37615028711
judged	2.70938729255	19	1.43478160308
attribute	2.70918249076	3	1.37607291553
r	2.70749269933	15	1.45711050876
claim	2.69729319997	3	1.37277682
period	2.69233947338	3	1.37140348694
treating	2.6877307085	3	1.37012578841
elliptical	2.68718677033	4	1.42860394611
04	2.68178849849	3	1.36847841582
32	2.67433194663	4	1.42511848861
jerk	2.67100085404	3	1.36548773225
change	2.66703149457	3	1.36438729756
powerful	2.65557891199	4	1.42003378993
represents	2.65189363837	3	1.36019059474
size	2.65154185988	3	1.36009307038
equivalent	2.64915125612	9	1.47250598811
origin	2.64651602808	9	1.47188675385
one	2.64616800802	85	1.25332700382
equally	2.64380275524	3	1.35794754053
holding	2.64009448645	4	1.41583534206
suggestion	2.63951587447	3	1.35675907868
numerical	2.62882063422	3	1.35379401254
continuously	2.61323021025	4	1.40855136096
simple	2.61041279471	21	1.40607761343
our	2.60689195	87	1.24691818604
straight	2.60674982946	26	1.38244203876
accuracy	2.59928693852	5	1.43543788306
return	2.59348273872	3	1.3439972062
closed	2.59064127184	4	1.40242659515
curvature	2.58937890771	8	1.45890680973
seconds	2.5850362294	10	1.45510595506
times	2.58037186127	14	1.43642945995
distribution	2.57461876698	3	1.33876750377
interpret	2.5743254192	5	1.42885547359
adjacent	2.57271649777	6	1.44447406204
it	2.57119707005	240	1.15578490392
foundations	2.57090839877	3	1.33773886983
curve	2.56319358182	5	1.42591998273
exactness	2.56223333428	3	1.33533386167
direct	2.56194714557	3	1.33525452092
rules	2.55194544412	3	1.33248172614
positive	2.545644348	3	1.33073485872
translation	2.54193565327	7	1.44450770646
everywhere	2.54133032043	6	1.43643743959
electrons	2.53505477883	3	1.32779908801
recognition	2.53111850196	3	1.32670782489
sitting	2.52370400982	3	1.32465228812
arc	2.5213704584	7	1.43939453154
him	2.51874861299	7	1.43874265567
associated	2.51459462821	5	1.41310432803
very	2.51267528189	18	1.40263007028
03	2.49612956836	3	1.31700776206
mathematician	2.49423627038	3	1.31648287869
mid	2.48382720679	3	1.31359714996
york	2.48206817902	3	1.31310949064
deflection	2.47990029211	6	1.42070790556
argument	2.47554342326	6	1.41959230267
observed	2.47304093513	9	1.43112302475
assumption	2.46266410815	8	1.42829351577
acts	2.46024809532	3	1.30706025846
middle	2.45945528672	3	1.30684046631
greater	2.45557861501	5	1.397541671
advance	2.45064740983	3	1.30439863826
followed	2.44991128581	3	1.3041945609
small	2.44985944333	33	1.33128155673
forwards	2.44871879761	3	1.30386396465
conclusion	2.44703815147	9	1.42501280794
drift	2.44254821619	4	1.36227263714
motions	2.43365690817	7	1.41758609605
are	2.43316785846	193	1.16238892737
12	2.43275913468	12	1.41410155277
fig	2.43080730342	8	1.42059716356
determine	2.43046892206	10	1.41974015976
others	2.42993582315	3	1.29865671728
themselves	2.42821891658	13	1.40911872282
century	2.42808450414	5	1.39029141137
employed	2.4220777929	3	1.29647821741
existence	2.42152841797	16	1.39435422758
briefly	2.42052066959	4	1.35630008713
alteration	2.41988920621	3	1.29587147048
arises	2.41536427986	4	1.35490198338
postulate	2.40801152904	9	1.41584220807
values	2.40681668597	19	1.37785178382
away	2.40469785482	3	1.29165993706
purpose	2.3884857506	6	1.39730065374
fields	2.38502392928	20	1.36940110315
agreement	2.37896127085	6	1.39486185251
27	2.36971002609	3	1.28196018054
supplemented	2.36676492414	5	1.37412129853
restricted	2.35849951841	4	1.33948366931
length	2.34617903115	25	1.34235264078
favour	2.32749288455	8	1.39563721661
removed	2.32708895389	6	1.38157962886
theoretical	2.32670955045	19	1.36277931925
respects	2.32597941004	3	1.26983664091
case	2.32509096209	39	1.29559701179
number	2.32121928401	23	1.34563767015
has	2.31600228285	79	1.22616310729
methods	2.31144904554	3	1.26580835442
introduce	2.30903998374	8	1.39117914163
disappears	2.30686226336	3	1.26453675021
starting	2.30016415396	5	1.35655852381
draw	2.28821184312	8	1.38614722749
theorem	2.27617421303	9	1.38486265623
apart	2.27472416436	4	1.31676881591
course	2.2745344921	26	1.3266217537
coordinates	2.26201109401	11	1.37951138938
notice	2.26165532665	5	1.34640365838
empty	2.25423575009	3	1.24994698046
ought	2.25106331939	15	1.36424639116
terrestrial	2.24402084655	3	1.24711507917
a	2.23913052442	800	1.076615249
per	2.23183709149	8	1.37252753311
satisfy	2.22693708258	11	1.37168859917
forms	2.22665524864	3	1.24230077438
out	2.21989334876	24	1.32428067606
farther	2.21349236337	12	1.36637848767
feel	2.21067101981	6	1.35177010563
side	2.20514434231	5	1.33150158316
sections	2.1965073654	3	1.23394280711
round	2.18713757163	8	1.36172848244
rays	2.18393278797	13	1.35718125464
rope	2.17535103103	12	1.35807708717
hardly	2.16996315512	4	1.28836391098
coincides	2.16711679188	5	1.32147363154
scene	2.16266118145	3	1.22455955141
simultaneous	2.15973959852	12	1.35467928364
realised	2.15839016213	3	1.22337548687
